Index,Feature_ID,Contribution_Score,variable_name,variable_value,cumulative,sign,position,label,Student_ID,Model_ID,Prediction_ID
1,intercept,0.886676389,intercept,1,0.886676389,1,23,Random Forrest,301237,RF_Graduation_v1,1
2,Math = 13.8888888888889,-0.026204363,Math,13.88888889,0.860472026,-1,22,Random Forrest,301237,RF_Graduation_v1,1
3,Last_FreeAndReducedStatus = REDUCED,-0.024204543,Last_FreeAndReducedStatus,REDUCED,0.836267483,-1,21,Random Forrest,301237,RF_Graduation_v1,1
4,NumberFours = 0,-0.015340064,NumberFours,0,0.820927419,-1,20,Random Forrest,301237,RF_Graduation_v1,1
5,SocialSciences = 55,0.018198817,SocialSciences,55,0.839126236,1,19,Random Forrest,301237,RF_Graduation_v1,1
6,UnexcusedAbs = 6.148845144,0.013395532,UnexcusedAbs,6.148845144,0.852521768,1,18,Random Forrest,301237,RF_Graduation_v1,1
7,Sci = 18.3333333333333,0.012041622,Sci,18.33333333,0.86456339,1,17,Random Forrest,301237,RF_Graduation_v1,1
8,English = 24.4444444444444,0.01141771,English,24.44444444,0.875981099,1,16,Random Forrest,301237,RF_Graduation_v1,1
9,Avg_GPA = 2.9467495,0.009501442,Avg_GPA,2.9467495,0.885482541,1,15,Random Forrest,301237,RF_Graduation_v1,1
10,RepeatedCourses = 1,0.006659733,RepeatedCourses,1,0.892142275,1,14,Random Forrest,301237,RF_Graduation_v1,1
11,Majors = 0,0.004303562,Majors,0,0.896445837,1,13,Random Forrest,301237,RF_Graduation_v1,1
12,Suspensions = 0,0.006184785,Suspensions,0,0.902630622,1,12,Random Forrest,301237,RF_Graduation_v1,1
13,Guidance = low,0.005785148,Guidance,low,0.90841577,1,11,Random Forrest,301237,RF_Graduation_v1,1
14,SummerSchool_Y = 0,0.002221574,SummerSchool_Y,0,0.910637344,1,10,Random Forrest,301237,RF_Graduation_v1,1
15,Academy = 0,-0.002329088,Academy,0,0.908308256,-1,9,Random Forrest,301237,RF_Graduation_v1,1
16,Tardies = 12,0.002511913,Tardies,12,0.910820169,1,8,Random Forrest,301237,RF_Graduation_v1,1
17,ExcusedAbs = 16.687856077,0.004123891,ExcusedAbs,16.68785608,0.914944059,1,7,Random Forrest,301237,RF_Graduation_v1,1
